Metric,Group_A_Reports_PSNR,Group_B_No_PSNR
n,21.0,27.0
LMIC_Score_mean,3.3333333333333335,3.185185185185185
LMIC_Score_median,3.0,3.0
LMIC_Score_std,1.016530045465127,0.8786806997310068
Code_Available_%,23.809523809523807,7.4074074074074066
Low_Field_%,33.33333333333333,11.11111111111111
Year_mean,2022.0,2022.5555555555557
Year_median,2021.0,2023.0
Reports_SSIM_%,85.71428571428571,11.11111111111111
Clinical_Validation_%,23.809523809523807,55.55555555555556
