Variable,Group_A_n,Group_A_median,Group_A_mean,Group_A_std,Group_B_n,Group_B_median,Group_B_mean,Group_B_std,U_statistic,p_value,Effect_Size_r,Significant,q_value_fdr
LMIC_Relevance_Score,24,3.0,3.2916666666666665,0.9545846657358219,24,3.0,3.2083333333333335,0.9315329426211432,308.0,0.6718031814169988,-0.06944444444444442,No,0.6718031814169988
Publication_Year,24,2021.5,2022.0,1.4744195615489712,24,2023.0,2022.625,1.4084373085707127,217.0,0.1376087553417783,0.2465277777777778,No,0.5504350213671132
