Reviewer_Name,n_papers,mean_lmic,median_lmic,std_lmic,bias
Leo Kinyera,4,4.0,4.0,0.816,0.76
Nankya Joanitah,4,3.75,3.5,0.957,0.51
Amir Deghatipour,7,3.571,4.0,0.787,0.331
Matheus Botto,6,3.5,3.5,1.049,0.26
Isaac Mateo Gavilanes,4,3.25,3.5,0.957,0.01
Emmanuel Paul Kwesiga,5,3.2,3.0,0.447,-0.04
Luis Nakayama,6,3.167,3.0,0.408,-0.073
Ernest Namdar,3,3.0,3.0,1.0,-0.24
Sebastian Cajas,8,2.75,2.5,1.035,-0.49
David Restrepo,2,2.0,2.0,1.414,-1.24
Martha Nakitanda,1,2.0,2.0,,-1.24
