Cohort,N,Mean_LMIC,Mean_TR,Median_TR,LowFieldDomain_Pct,OpenScience_Pct,ClinicalEvaluation_Pct,HardwareAwareness_Pct,DataDiversity_Pct,PSNR_N,PSNR_Mean,PSNR_SD,PSNR_Median,PSNR_Min,PSNR_Max,SSIM_N,SSIM_Mean,SSIM_SD,SSIM_Median,SSIM_Min,SSIM_Max
All included studies,45,3.2222222222222223,1.2,1.0,6.666666666666667,8.88888888888889,42.22222222222222,0.0,62.22222222222222,18,34.116216666666666,8.451748835961494,34.195,21.19,56.6,17,0.8667705882352942,0.11345930308212877,0.896,0.59,0.9966
"SR primary strict (Pure SR, SR + Denoising, SR + Other)",24,3.25,1.0833333333333333,1.0,4.166666666666666,8.333333333333332,29.166666666666668,0.0,66.66666666666666,12,33.284166666666664,5.2174505413578345,34.835,24.63,41.64,12,0.8936083333333334,0.09252558818887331,0.9165000000000001,0.75,0.9966
SR primary pure/denoising,22,3.272727272727273,1.0,1.0,4.545454545454546,9.090909090909092,22.727272727272727,0.0,63.63636363636363,12,33.284166666666664,5.2174505413578345,34.835,24.63,41.64,12,0.8936083333333334,0.09252558818887331,0.9165000000000001,0.75,0.9966
