Scheme,Weights,N,Mean_TR_0_to_5,Median_TR_0_to_5,Min_TR_0_to_5,Max_TR_0_to_5,Rank_Spearman_vs_Primary_Equal,LMIC_TR_Spearman_Rho,LMIC_TR_Permutation_P,LMIC_TR_Bootstrap_CI_2_5,LMIC_TR_Bootstrap_CI_97_5,Bootstrap_Replicates,Bootstrap_Seed,Permutations,Seed
Equal weights (primary),LowFieldDomain=1; OpenScience=1; ClinicalEvaluation=1; HardwareAwareness=1; DataDiversity=1,48,1.2291666666666667,1.0,0.0,4.0,1.0,0.40592288472740023,0.0032996700329967,0.16392078177387287,0.606534930261319,10000,42,10000,42
Clinical evaluation emphasis,LowFieldDomain=1; OpenScience=1; ClinicalEvaluation=2; HardwareAwareness=1; DataDiversity=1,48,1.3888888888888886,1.25,0.0,4.166666666666667,0.9506344233531822,0.3485997702266572,0.014798520147985201,0.08016460727471328,0.5652860766741926,10000,42,10000,42
Low-resource deployment emphasis,LowFieldDomain=2; OpenScience=1; ClinicalEvaluation=1; HardwareAwareness=2; DataDiversity=2,48,1.2109375,1.25,0.0,3.75,0.9678099756225875,0.4179934872713505,0.0031996800319968005,0.17099007289274568,0.6188064132362039,10000,42,10000,42
Evidence and deployment emphasis,LowFieldDomain=2; OpenScience=2; ClinicalEvaluation=2; HardwareAwareness=1; DataDiversity=2,48,1.3657407407407407,1.1111111111111112,0.0,4.444444444444445,1.0,0.40592288472740023,0.0032996700329967,0.16392078177387287,0.606534930261319,10000,42,10000,42
