Architecture,n,Median PSNR (dB),Range
CNN,10,35.80,26.50–47.40
U-Net,5,29.26,21.19–37.31
Hybrid,1,27.15,27.15–27.15
GAN,3,36.06,34.28–56.60
Diffusion,1,24.63,24.63–24.63
