Application_Norm,Studies,Mean,Median,SD
Abdominal,2,3.5,3.5,0.71
Brain,22,3.45,3.5,0.96
Cardiac,4,2.25,2.0,0.5
Flow,3,3.0,3.0,0.0
General,4,3.5,3.5,0.58
Musculoskeletal,7,2.86,3.0,1.35
Other,1,3.0,3.0,
Pediatric,1,4.0,4.0,
Prostate,1,3.0,3.0,
