Cohort,n,rho,p_permutation,permutations,seed,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_replicates,bootstrap_seed,rank_method
All included studies,45,0.37435745878921384,0.011398860113988602,10000,42,0.09597851728294932,0.5864907688888084,10000,42,average
"SR primary strict (Pure SR, SR + Denoising, SR + Other)",24,0.5784285550352165,0.0028997100289971,10000,42,0.23904933628841177,0.7942521262544889,10000,42,average
SR primary pure/denoising,22,0.6543898551130524,0.0011998800119988001,10000,42,0.3402847093263116,0.8424395997186909,10000,42,average
