Section,Row,Column,Value
Dataset x Application,Synthetic,Pediatric,0
Dataset x Application,Synthetic,Prostate,0
Dataset x Application,Synthetic,All,4
Dataset x Application,All,Abdominal,2
Dataset x Application,All,Brain,26
Dataset x Application,All,Cardiac,4
Dataset x Application,All,Flow,3
Dataset x Application,All,General,5
Dataset x Application,All,Musculoskeletal,7
Dataset x Application,All,Other,2
Dataset x Application,All,Pediatric,1
Dataset x Application,All,Prostate,1
Dataset x Application,All,All,51
