Metric,n Reporting,% Reporting,Median,Mean (SD),Range
PSNR (dB),20,39.2%,34.20,34.16 (8.42),21.19–56.60
SSIM,19,37.3%,0.9130,0.8762 (0.1111),0.5900–0.9966
