Variable,Group_A_n,Group_A_median,Group_A_mean,Group_A_std,Group_B_n,Group_B_median,Group_B_mean,Group_B_std,U_statistic,p_value,Effect_Size_r,Significant,q_value_fdr,Test,Statistic,Min_Expected_Cell,Note
LMIC_Relevance_Score,18.0,3.5,3.333333333333333,1.0846522890932808,27.0,3.0,3.1481481481481484,0.8639668665167353,277.5,0.4072942012808612,-0.1419753086419752,No,0.4072942012808612,,,,
Publication_Year,18.0,2021.0,2021.888888888889,1.5676467522593478,27.0,2023.0,2022.4814814814813,1.3969849503723908,186.0,0.1817021183172298,0.2345679012345679,No,0.313518804488145,,,,
Code_Available,,,,,,,,,,0.1407135122393205,,No,0.313518804488145,Fisher_Exact,7.428571428571429,2.0,OR=7.43
Low_Field_Mentioned,,,,,,,,,,0.2351391033661087,,No,0.313518804488145,Fisher_Exact,3.076923076923077,3.2,OR=3.08
