Architecture,n,Median SSIM,Range
CNN,8,0.9521,0.7500–0.9895
U-Net,5,0.8960,0.5900–0.9570
Hybrid,1,0.7930,0.7930–0.7930
GAN,3,0.9200,0.8800–0.9966
Other,1,0.9270,0.9270–0.9270
Diffusion,1,0.7847,0.7847–0.7847
